white_pixels,contour,label,contours
1200940,,300,2590.0
1199481,,300,2664.0
1202799,,300,2631.0
1201549,,300,2731.0
1203382,,300,2732.0
1200784,,300,2955.0
1201073,,300,2924.0
1201599,,300,2879.0
1200864,,300,2863.0
1202791,,300,2817.0
1200875,,300,2810.0
1197543,,300,2844.0
1201564,,300,2789.0
1199448,,300,2769.0
1199264,,300,2905.0
1200876,,300,2875.0
1201250,,300,2928.0
1198864,,300,2817.0
1202476,,300,2844.0
1200161,,300,2873.0
1201575,,300,2720.0
1199055,,300,2945.0
1197315,,300,2516.0
1201579,,300,2888.0
1199623,,300,2749.0
1200018,,300,2908.0
1201053,,300,2763.0
1202955,,300,2878.0
1202740,,300,2874.0
1203439,,300,2757.0
1202459,,300,2839.0
1198322,,300,2808.0
1201384,,300,2848.0
1196588,,300,2723.0
1203367,,300,2763.0
1196849,,300,2872.0
1197986,,300,2878.0
1199578,,300,2732.0
1200046,,300,2679.0
1202109,,300,2787.0
1199542,,300,2873.0
1201403,,300,2741.0
1199514,,300,2872.0
1204242,,300,2781.0
1216145,,300,2623.0
1201624,,300,2904.0
1200147,,300,2761.0
1201716,,300,2745.0
1197541,,300,2652.0
1197601,,300,2776.0
